Date;Maximum;Minimum;Average;Departure;HDD;CDD;Precipitation;New Snow;Snow Depth
01/10/2017;67;48;57.5;-2.1;7;0;0.00;0.0;0
02/10/2017;72;47;59.5;0.3;5;0;0.00;0.0;0
03/10/2017;68;49;58.5;-0.3;6;0;0.00;0.0;0
04/10/2017;71;50;60.5;2.1;4;0;0.00;0.0;0
05/10/2017;79;63;71.0;13.0;0;6;T;0.0;0
06/10/2017;80;64;72.0;14.4;0;7;0.00;0.0;0
07/10/2017;77;66;71.5;14.2;0;7;0.00;0.0;0
08/10/2017;73;71;72.0;15.1;0;7;0.16;0.0;0
09/10/2017;73;71;72.0;15.5;0;7;0.40;0.0;0
10/10/2017;81;61;71.0;14.9;0;6;0.00;0.0;0
11/10/2017;77;59;68.0;12.2;0;3;0.01;0.0;0
12/10/2017;65;52;58.5;3.1;6;0;0.02;0.0;0
13/10/2017;67;51;59.0;3.9;6;0;T;0.0;0
14/10/2017;70;62;66.0;11.3;0;1;0.34;0.0;0
15/10/2017;72;64;68.0;13.6;0;3;0.00;0.0;0
16/10/2017;69;47;58.0;4.0;7;0;T;0.0;0
17/10/2017;58;40;49.0;-4.7;16;0;0.00;0.0;0
18/10/2017;72;45;58.5;5.1;6;0;0.00;0.0;0
19/10/2017;69;49;59.0;5.9;6;0;0.00;0.0;0
20/10/2017;72;48;60.0;7.2;5;0;0.00;0.0;0
21/10/2017;76;47;61.5;9.1;3;0;0.00;0.0;0
22/10/2017;74;47;60.5;8.4;4;0;0.00;0.0;0
23/10/2017;73;51;62.0;10.2;3;0;0.00;0.0;0
24/10/2017;73;67;70.0;18.4;0;5;1.34;0.0;0
25/10/2017;67;58;62.5;11.2;2;0;0.13;0.0;0
26/10/2017;60;47;53.5;2.5;11;0;0.25;0.0;0
27/10/2017;62;40;51.0;0.3;14;0;0.00;0.0;0
28/10/2017;68;44;56.0;5.6;9;0;0.00;0.0;0
29/10/2017;68;62;65.0;14.9;0;0;4.02;0.0;0
30/10/2017;64;48;56.0;6.1;9;0;T;0.0;0
31/10/2017;60;40;50.0;0.4;15;0;0.00;0.0;0